indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2009-07-01,Patagonia,No residentes,146790,""
2009-08-01,Buenos Aires,Residentes,234636,""
2009-08-01,Buenos Aires,No residentes,2760,""
2009-08-01,CABA,Residentes,343474,""
2009-08-01,CABA,No residentes,282100,""
2009-08-01,Cuyo,Residentes,222355,""
2009-08-01,Cuyo,No residentes,44384,""
2009-08-01,Córdoba,Residentes,298920,""
2009-08-01,Córdoba,No residentes,16643,""
2009-08-01,Litoral,Residentes,312702,""
2009-08-01,Litoral,No residentes,34466,""
2009-08-01,Norte,Residentes,281833,""
2009-08-01,Norte,No residentes,30794,""
2009-08-01,Patagonia,Residentes,524437,""
2009-08-01,Patagonia,No residentes,137239,""
2009-09-01,Buenos Aires,Residentes,291227,""
2009-09-01,Buenos Aires,No residentes,4309,""
2009-09-01,CABA,Residentes,390480,""
2009-09-01,CABA,No residentes,367347,""
2009-09-01,Cuyo,Residentes,211993,""
2009-09-01,Cuyo,No residentes,42017,""
2009-09-01,Córdoba,Residentes,291661,""
2009-09-01,Córdoba,No residentes,18704,""
2009-09-01,Litoral,Residentes,301544,""
2009-09-01,Litoral,No residentes,36153,""
2009-09-01,Norte,Residentes,282065,""
2009-09-01,Norte,No residentes,28008,""
2009-09-01,Patagonia,Residentes,509625,""
2009-09-01,Patagonia,No residentes,148230,""
2009-10-01,Buenos Aires,Residentes,415985,""
2009-10-01,Buenos Aires,No residentes,3310,""
2009-10-01,CABA,Residentes,429678,""
2009-10-01,CABA,No residentes,495847,""
2009-10-01,Cuyo,Residentes,277669,""
2009-10-01,Cuyo,No residentes,56090,""
2009-10-01,Córdoba,Residentes,409726,""
2009-10-01,Córdoba,No residentes,19608,""
2009-10-01,Litoral,Residentes,382995,""
2009-10-01,Litoral,No residentes,52930,""
2009-10-01,Norte,Residentes,247115,""
2009-10-01,Norte,No residentes,40403,""
2009-10-01,Patagonia,Residentes,458005,""
2009-10-01,Patagonia,No residentes,192919,""
2009-11-01,Buenos Aires,Residentes,447249,""
2009-11-01,Buenos Aires,No residentes,6757,""
2009-11-01,CABA,Residentes,421729,""
2009-11-01,CABA,No residentes,537212,""
2009-11-01,Cuyo,Residentes,235113,""
2009-11-01,Cuyo,No residentes,52824,""
2009-11-01,Córdoba,Residentes,350094,""
